stage,teams,result
europe,hellraisers wisla-krakow,1
europe,nemiga avez,1
europe,nemiga endpoint,1
europe,nemiga fate,2
europe,nemiga forze,1
europe,nemiga galaxy-racer,2
europe,nemiga gamerlegion,2
europe,nemiga hellraisers,2
europe,nemiga nordavind,1
europe,nemiga pact,1
europe,nemiga secret,2
europe,nemiga singularity,1
europe,nemiga sprout,2
europe,nemiga wisla-krakow,2
europe,nexus nemiga,1
europe,nordavind sprout,2
europe,pact forze,2
europe,pact hellraisers,2
europe,pact sprout,2
europe,saw alternate,1
europe,saw forze,1
europe,saw nemiga,2
europe,saw sprout,1
europe,saw sprout,2
europe,saw sprout,2
europe,singularity forze,2
europe,skade alternate,2
europe,skade hellraisers,2
europe,skade nemiga,2
europe,skade sprout,2
europe,sprout galaxy-racer,2
europe,sprout hellraisers,1
europe,sprout nexus,1
europe,sprout secret,1
europe,sprout singularity,1
europe,sprout wisla-krakow,1
europe,wisla-krakow sprout,2
europe,wisla-krakow sprout,1
north-america,imperium one,2
north-america,kinship one,2
north-america,new one,2
north-america,one depth,1
north-america,one eclipse-usa,1
north-america,one ex-polar-ace,1
north-america,one ex-recon5,1
north-america,one ex-warriors-int,1
north-america,one incognito,1
north-america,one mythic,1
north-america,one new,1
north-america,one new,2
north-america,one rbg,1
north-america,one rebirth,1
north-america,one third-impact,1
north-america,rbg one,2
north-america,rugratz one,2
north-america,secret-club one,2
north-america,secret-club one,1
north-america,sixth-gear one,2
north-america,swole-patrol one,2
australia,caughtoffguard order,2
australia,ninja order,2
australia,order chiefs,1
australia,order dire-wolves,1
australia,order dynasty,1
australia,order paradox,1
australia,order riot,1
australia,order simplicity,1
australia,order vertex,1
australia,really-weird order,2
australia,rooster order,2
australia,sylyx order,2
europe,ago-gaming apeks,1
europe,ago-gaming nexus,1
europe,ago-gaming pact,1
europe,ago-gaming sangal,2
europe,ago-gaming sprout,1
europe,ago-gaming wisla-krakow,1
europe,alternate ago-gaming,2
europe,alternate ldlc,2
europe,alternate nemiga,2
europe,alternate pact,1
europe,alternate sprout,2
europe,anonymo ago-gaming,1
europe,anonymo alternate,1
europe,anonymo nemiga,2
europe,anonymo sprout,2
europe,apeks hellraisers,1
europe,apeks nemiga,2
europe,ex-winstrike ago-gaming,1
europe,ex-winstrike ago-gaming,1
europe,ex-winstrike nemiga,1
europe,fate forze,2
europe,fate hellraisers,2
europe,forze apeks,2
europe,forze gamerlegion,1
europe,forze saw,2
europe,forze singularity,1
europe,gamerlegion alternate,1
europe,hellraisers forze,2
europe,hellraisers gamerlegion,2
europe,hellraisers saw,2
europe,hellraisers singularity,1
europe,hellraisers winstrike,2
europe,hellraisers wisla-krakow,2
europe,ldlc ago-gaming,1
europe,ldlc anonymo,2
europe,ldlc nemiga,2
europe,ldlc sangal,1
europe,ldlc sprout,2
europe,nemiga ago-gaming,2
europe,nemiga nexus,1
europe,nemiga sangal,1
europe,nemiga sprout,2
europe,nemiga wisla-krakow,2
europe,nexus alternate,2
europe,nexus ldlc,2
europe,pact ldlc,1
europe,pact nemiga,2
europe,pact sprout,2
europe,sangal alternate,2
europe,sangal sprout,2
europe,saw sprout,1
europe,sprout ago-gaming,2
europe,sprout nexus,1
europe,winstrike forze,2
europe,wisla-krakow forze,1
europe,wisla-krakow sprout,2
australia,bandits order,2
australia,dire-wolves renegades,2
australia,dynasty order,2
australia,order chiefs,1
australia,order munyanyo,1
australia,order paradox,1
australia,order rooster,1
australia,order rooster,1
australia,order simplicity,1
australia,order skyfire,1
australia,order vertex,2
australia,overperformers renegades,2
australia,renegades animal-squad,1
australia,renegades bbbmbcbs,1
australia,renegades chiefs,1
australia,renegades dire-wolves,2
australia,renegades hazard,1
australia,renegades order,1
australia,renegades riot,1
australia,renegades sylyx,1
australia,renegades vertex,1
australia,riot order,2
australia,vertex renegades,2
europe,ago-gaming anonymo,1
europe,ago-gaming forze,1
europe,ago-gaming forze,1
europe,ago-gaming gamerlegion,2
europe,ago-gaming izako-boars,1
europe,ago-gaming ldlc,1
europe,ago-gaming sangal,1
europe,ago-gaming sinners-ch,2
europe,ago-gaming sprout,1
europe,alternate apeks,2
europe,alternate forze,2
europe,alternate nemiga,1
europe,alternate saw,2
europe,anonymo nemiga,1
europe,anonymo sprout,2
europe,apeks big,2
europe,apeks forze,2
europe,apeks nemiga,1
europe,big alternate,1
europe,big forze,2
europe,big ldlc,2
europe,big nemiga,1
europe,big wisla-krakow,1
europe,blink alternate,1
europe,blink big,2
europe,blink forze,2
europe,blink ldlc,2
europe,endpoint ago-gaming,2
europe,forze blink,1
europe,forze ldlc,1
europe,,
europe,forze saw,1
europe,,
europe,gamerlegion forze,2
europe,ldlc alternate,1
europe,,
europe,ldlc big,2
europe,ldlc forze,2
europe,ldlc gamerlegion,1
europe,movistar-riders ago-gaming,2
europe,movistar-riders sprout,1
europe,nemiga blink,1
europe,nemiga ldlc,2
europe,nemiga saw,2
europe,sangal big,2
europe,,
europe,saw big,1
europe,saw ldlc,2
europe,sinners-ch ago-gaming,1
europe,sinners-ch ago-gaming,1
europe,sinners-ch big,1
europe,sinners-ch sprout,1
europe,sprout endpoint,2
europe,sprout gamerlegion,2
europe,sprout izako-boars,1
europe,wisla-krakow alternate,1
europe,wisla-krakow ldlc,1
europe,wisla-krakow nemiga,2
north-america,extra-salt one,2
north-america,one censrd,1
north-america,one chococheck,1
north-america,one extra-salt,1
north-america,one mythic,1
north-america,one pain-gaming,2
north-america,one pdhm,1
north-america,,
north-america,,
north-america,party-astronauts one,1
north-america,triumph one,2
europe,alternate fate,2
europe,alternate offset,2
europe,phoenix alternate,2
europe,vp gamerlegion,1
europe,vp offset,1
europe,heretics tricked,1
europe,penta 9ine,2
europe,penta cex,2
europe,penta elites,1
europe,pro100 9ine,2
europe,pro100 secret,2
europe,tricked 9ine,2
europe,9ine ldlc,2
europe,budapest-five ldlc,2
europe,ldlc 9ine,1
europe,ldlc lyngby-vikings,1
europe,ldlc movistar-riders,1
europe,ldlc vexed,1
europe,singularity ldlc,1
europe,alternate ex-hellraisers,1
europe,alternate sinners-ch,2
europe,blink alternate,2
europe,hellraisers lyngby-vikings,2
europe,banka-pepsi anonymo,2
europe,saw banka-pepsi,1
europe,skade sprout,1
europe,sprout anonymo,1
europe,sprout enterprise,1
group-stage,big envyus,1
group-stage,envyus vp,2
group-stage,gambit heroic,1
group-stage,gambit mousesports,2
group-stage,gambit sk,2
group-stage,sk mousesports,1
playoff,sk liquid,2
playoff,vp sk,2
qualifier,envyus hellraisers,2
qualifier,envyus ldlc,1
qualifier,envyus space-soldiers,1
qualifier,hellraisers space-soldiers,1
qualifier,ldlc envyus,2
qualifier,ldlc space-soldiers,1
group-stage,order chiefs,2
group-stage,order dark-sided,1
group-stage,order grayhound-gaming,1
playoff,chiefs order,1
playoff,tainted-minds order,2
group-stage,breakaway order,1
group-stage,chiefs order,1
group-stage,order legacy,1
playoff,chiefs order,2
playoff,genuine-gaming order,2
playoff,order fighting-4-freedom,1
online-stage,chiefs order,1
online-stage,order chiefs,2
online-stage,order fighting-4-freedom,1
online-stage,order ground-zero-gaming,1
online-stage,order justice,1
playoff,chiefs order,2
playoff,order avant,1
playoff,avant order,1
playoff,order ground-zero-gaming,1
stage-1,avant order,1
stage-1,order avant,2
stage-1,order ground-zero-gaming,1
stage-1,order paradox,1
stage-1,order skyfire,1
playoff,order rooster,2
playoff,renegades avant,1
playoff,rooster renegades,2
stage-1,order renegades,1
stage-1,order rooster,1
stage-1,paradox order,2
stage-1,paradox renegades,2
stage-1,renegades avant,1
stage-1,renegades run-it-back-bruv,1
stage-1,renegades twa,2
stage-1,twa order,2
stage-1,twa renegades,2
playoff,dire-wolves order,2
playoff,order paradox,1
stage-1,order caughtoffguard,1
stage-1,order chiefs,1
stage-1,order eetswa,1
stage-2,chiefs order,2
stage-2,simplicity order,2
playoff,defusekids epsilon,1
playoff,epsilon lamif,1
group-stage,one blackdragons,1
group-stage,one intz-esports,1
group-stage,one keyd-stars,2
group-stage,one merciless,1
group-stage,one pro-gaming,1
group-stage,pain-gaming one,2
group-stage,t-show one,2
playoff,one blackdragons,2
group-stage,one blackdragons,1
group-stage,one c4-gaming,1
group-stage,one keyd-stars,2
group-stage,one merciless,1
group-stage,one operation-kino,1
group-stage,one team-glacon,1
playoff,one merciless,2
group-stage,bulldozer-e-sports furia,0
group-stage,c4-gaming furia,2
group-stage,csbl furia,2
group-stage,furia bulldozer-e-sports,1
group-stage,furia c4-gaming,1
group-stage,furia csbl,1
group-stage,furia isurus,1
group-stage,furia team-wild,1
group-stage,furia virtue-gaming,1
group-stage,furia yeah,2
group-stage,isurus furia,2
group-stage,team-wild furia,2
group-stage,virtue-gaming furia,0
group-stage,yeah furia,2
playoff,furia virtue-gaming,1
playoff,furia yeah,1
group-stage,ldlc ambush,2
group-stage,ldlc double-poney,1
group-stage,ldlc exalty,1
group-stage,ldlc kumiho,1
group-stage,ldlc myinsanity,1
group-stage,ldlc the-dice,1
group-stage,ldlc ubiteam,1
playoff,ldlc ambush,1
playoff,the-dice ldlc,2
playoff,team-envyus-academy epsilon,1
playoff,ldlc against-all-authority,2
playoff,the-dice ldlc,2
playoff,ldlc the-dice,2
regular-season,apologis ldlc,2
regular-season,esport-alltech ldlc,2
regular-season,exalty ldlc,1
regular-season,heretics ldlc,1
regular-season,ldlc apologis,1
regular-season,ldlc esport-alltech,1
regular-season,ldlc exalty,1
regular-season,ldlc heretics,1
regular-season,ldlc nicecactus,1
regular-season,ldlc the-dice,1
regular-season,ldlc warthox,1
regular-season,nicecactus ldlc,2
regular-season,the-dice ldlc,2
regular-season,warthox ldlc,2
playoff,ldlc exalty,1
playoff,ldlc make-your-destiny,1
playoff,ldlc apologis,1
playoff,ldlc the-dice,2
playoff,apologis ldlc,2
playoff,the-dice ldlc,2
regular-season,apologis ldlc,1
regular-season,esport-alltech ldlc,2
regular-season,exalty ldlc,2
regular-season,heretics ldlc,1
regular-season,ldlc apologis,1
regular-season,ldlc esport-alltech,1
regular-season,ldlc exalty,2
regular-season,ldlc heretics,1
regular-season,ldlc the-dice,2
regular-season,ldlc ubiteam,1
regular-season,ldlc warthox,1
regular-season,the-dice ldlc,1
regular-season,ubiteam ldlc,2
regular-season,warthox ldlc,2
group-stage,giants-gaming kinguin,2
group-stage,giants-gaming panthers,2
group-stage,kinguin team-envyus-academy,1
group-stage,movistar-riders giants-gaming,2
playoff,endpoint kinguin,2
playoff,kinguin movistar-riders,1
playoff,ago-gaming 9ine,1
playoff,heretics ago-gaming,1
playoff,sprout elites,1
playoff,sprout endpoint,1
playoff,sprout heretics,2
playoff,ldlc endpoint,2
playoff,ldlc sangal,1
playoff,sprout kingzzz,1
playoff,sprout movistar-riders,2
group-stage,astralis team-dignitas,1
group-stage,fnatic team-dignitas,1
group-stage,team-dignitas astralis,2
group-stage,team-dignitas gbots,1
group-stage,team-dignitas vexed,1
group-stage,vexed team-dignitas,2
group-stage,giants-gaming baskonia,1
group-stage,giants-gaming baskonia,1
group-stage,giants-gaming x6tence,2
playoff,g2-vodafone giants-gaming,2
playoff,giants-gaming kpi-gaming,2
group-stage,giants-gaming g2-vodafone,1
group-stage,giants-gaming gbots,1
group-stage,giants-gaming x6tence,2
playoff,movistar-riders giants-gaming,1
group-stage,mad-lions x6tence,2
group-stage,,
group-stage,,
playoff,,
playoff,,
playoff,dragons giants-gaming,2
playoff,,
group-stage,giants-gaming s2v,1
group-stage,giants-gaming x6tence,2
group-stage,saw giants-gaming,1
regular-season,,
regular-season,,
regular-season,,
playoff,alternate ex-penta,1
playoff,big esport-rhein-neckar,1
playoff,big sprout,2
playoff,sprout alternate,1
regular-season,alternate big,2
regular-season,alternate big,2
regular-season,alternate cowana,1
regular-season,alternate cowana,1
regular-season,alternate esport-rhein-neckar,1
regular-season,alternate esport-rhein-neckar,1
regular-season,alternate no-limit-gaming,1
regular-season,alternate no-limit-gaming,1
regular-season,alternate sissi-state-punks,2
regular-season,alternate tka,1
regular-season,big alternate,1
regular-season,big alternate,1
regular-season,big cowana,1
regular-season,big cowana,1
regular-season,big esport-rhein-neckar,1
regular-season,big esport-rhein-neckar,1
regular-season,big no-limit-gaming,1
regular-season,big no-limit-gaming,1
regular-season,big sissi-state-punks,1
regular-season,big sissi-state-punks,2
regular-season,cowana alternate,2
regular-season,cowana alternate,2
regular-season,cowana big,2
regular-season,cowana big,2
regular-season,divizon penta,2
regular-season,divizon penta,2
regular-season,divizon sprout,2
regular-season,divizon sprout,2
regular-season,esport-rhein-neckar alternate,2
regular-season,esport-rhein-neckar alternate,2
regular-season,esport-rhein-neckar big,2
regular-season,esport-rhein-neckar big,1
regular-season,no-limit-gaming alternate,2
regular-season,no-limit-gaming alternate,2
regular-season,no-limit-gaming big,2
regular-season,no-limit-gaming big,1
regular-season,penta divizon,1
regular-season,penta divizon,1
regular-season,penta planetkey-dynamics,1
regular-season,penta planetkey-dynamics,1
regular-season,penta sprout,2
regular-season,penta sprout,2
regular-season,penta ttc,1
regular-season,penta ttc,2
regular-season,penta unicorns-of-love,2
regular-season,penta unicorns-of-love,1
regular-season,planetkey-dynamics penta,2
regular-season,planetkey-dynamics penta,2
regular-season,planetkey-dynamics sprout,2
regular-season,planetkey-dynamics sprout,2
regular-season,sissi-state-punks alternate,2
regular-season,sissi-state-punks big,2
regular-season,sissi-state-punks big,2
regular-season,sprout divizon,1
regular-season,sprout divizon,1
regular-season,sprout penta,1
regular-season,sprout penta,2
regular-season,sprout planetkey-dynamics,1
regular-season,sprout planetkey-dynamics,1
regular-season,sprout ttc,1
regular-season,sprout ttc,1
regular-season,sprout unicorns-of-love,1
regular-season,sprout unicorns-of-love,1
regular-season,tka alternate,2
regular-season,ttc penta,1
regular-season,ttc penta,2
regular-season,ttc sprout,2
regular-season,ttc sprout,2
regular-season,unicorns-of-love penta,2
regular-season,unicorns-of-love penta,1
regular-season,unicorns-of-love sprout,2
regular-season,unicorns-of-love sprout,2
group-stage,bluejays penta,2
group-stage,eyes-on-u penta,1
group-stage,eyes-on-u penta,2
playoff,alternate penta,1
playoff,alternate berzerk,1
playoff,alternate sprout,1
esl-meisterschaft,ad-hoc big,2
esl-meisterschaft,ad-hoc big,2
esl-meisterschaft,ad-hoc sprout,1
esl-meisterschaft,ad-hoc sprout,2
esl-meisterschaft,alternate cowana,1
esl-meisterschaft,alternate esport-rhein-neckar,1
esl-meisterschaft,alternate esport-rhein-neckar,1
esl-meisterschaft,alternate euronics,1
esl-meisterschaft,alternate euronics,1
esl-meisterschaft,alternate panthers,2
esl-meisterschaft,alternate planetkey-dynamics,1
esl-meisterschaft,alternate planetkey-dynamics,2
esl-meisterschaft,alternate sprout,2
esl-meisterschaft,alternate unicorns-of-love,1
esl-meisterschaft,alternate unicorns-of-love,1
esl-meisterschaft,big ad-hoc,1
esl-meisterschaft,big ad-hoc,1
esl-meisterschaft,big epikk-esports,1
esl-meisterschaft,big epikk-esports,1
esl-meisterschaft,big no-limit-gaming,2
esl-meisterschaft,big no-limit-gaming,1
esl-meisterschaft,big sprout,1
esl-meisterschaft,big sprout,1
esl-meisterschaft,big ttc,1
esl-meisterschaft,big ttc,1
esl-meisterschaft,big unicorns-of-love,1
esl-meisterschaft,cowana alternate,2
esl-meisterschaft,epikk-esports big,2
esl-meisterschaft,epikk-esports big,2
esl-meisterschaft,epikk-esports sprout,2
esl-meisterschaft,epikk-esports sprout,2
esl-meisterschaft,esport-rhein-neckar alternate,2
esl-meisterschaft,esport-rhein-neckar alternate,1
esl-meisterschaft,euronics alternate,2
esl-meisterschaft,euronics alternate,2
esl-meisterschaft,no-limit-gaming big,1
esl-meisterschaft,no-limit-gaming big,1
esl-meisterschaft,no-limit-gaming sprout,2
esl-meisterschaft,no-limit-gaming sprout,2
esl-meisterschaft,panthers alternate,1
esl-meisterschaft,planetkey-dynamics alternate,2
esl-meisterschaft,planetkey-dynamics alternate,2
esl-meisterschaft,sprout ad-hoc,1
esl-meisterschaft,sprout ad-hoc,1
esl-meisterschaft,sprout big,2
esl-meisterschaft,sprout big,1
esl-meisterschaft,sprout big,2
esl-meisterschaft,sprout epikk-esports,1
esl-meisterschaft,sprout epikk-esports,1
esl-meisterschaft,sprout euronics,1
esl-meisterschaft,sprout no-limit-gaming,1
esl-meisterschaft,sprout no-limit-gaming,1
esl-meisterschaft,sprout ttc,1
esl-meisterschaft,sprout ttc,1
esl-meisterschaft,ttc big,2
esl-meisterschaft,ttc big,2
esl-meisterschaft,ttc sprout,2
esl-meisterschaft,ttc sprout,2
esl-meisterschaft,unicorns-of-love alternate,2
esl-meisterschaft,unicorns-of-love alternate,2
group-stage,alternate big-academy,1
group-stage,alternate big-academy,1
group-stage,alternate cowana,1
group-stage,alternate cowana,1
group-stage,alternate no-limit-gaming,1
group-stage,alternate no-limit-gaming,1
group-stage,alternate penta,2
group-stage,alternate penta,2
group-stage,alternate tt-willhaben,1
group-stage,alternate tt-willhaben,1
group-stage,big-academy alternate,2
group-stage,big-academy alternate,2
group-stage,big-academy penta,2
group-stage,big-academy penta,2
group-stage,cowana alternate,1
group-stage,cowana alternate,2
group-stage,cowana penta,1
group-stage,cowana penta,1
group-stage,entropy-gaming sprout,2
group-stage,entropy-gaming sprout,2
group-stage,esport-rhein-neckar sprout,2
group-stage,esport-rhein-neckar sprout,2
group-stage,no-limit-gaming alternate,2
group-stage,no-limit-gaming alternate,2
group-stage,no-limit-gaming penta,2
group-stage,no-limit-gaming penta,1
group-stage,penta alternate,1
group-stage,penta alternate,2
group-stage,penta big-academy,1
group-stage,penta big-academy,1
group-stage,penta cowana,2
group-stage,penta cowana,2
group-stage,penta no-limit-gaming,2
group-stage,penta no-limit-gaming,2
group-stage,penta tt-willhaben,1
group-stage,penta tt-willhaben,2
group-stage,sissi-state-punks sprout,2
group-stage,sissi-state-punks sprout,2
group-stage,sprout entropy-gaming,1
group-stage,sprout entropy-gaming,1
group-stage,sprout esport-rhein-neckar,1
group-stage,sprout esport-rhein-neckar,1
group-stage,sprout sissi-state-punks,2
group-stage,sprout sissi-state-punks,2
group-stage,sprout ttc,1
group-stage,sprout ttc,1
group-stage,sprout unicorns-of-love,1
group-stage,sprout unicorns-of-love,2
group-stage,tt-willhaben alternate,2
group-stage,tt-willhaben alternate,2
group-stage,tt-willhaben penta,2
group-stage,tt-willhaben penta,2
group-stage,ttc sprout,2
group-stage,ttc sprout,2
group-stage,unicorns-of-love sprout,2
group-stage,unicorns-of-love sprout,1
playoff,alternate unicorns-of-love,2
playoff,sprout no-limit-gaming,1
playoff,sprout unicorns-of-love,1
group-stage,penta bluejays,1
group-stage,penta fab-games,1
group-stage,penta panthers,2
playoff,alternate penta,2
playoff,euronics penta,2
playoff,alternate sprout,1
group-stage,penta euronics,1
group-stage,penta killerfish,2
group-stage,penta leisure,1
playoff,killerfish penta,2
playoff,planetkey-dynamics penta,2
group-stage,penta divizon,2
group-stage,penta leisure,1
group-stage,penta panthers,1
playoff,alternate penta,1
playoff,alternate unicorns-of-love,1
playoff,sprout alternate,1
playoff,sprout ttc,1
group-stage,dobry-gaming very-tox1c,1
playoff,kinguin atb,1
playoff,kinguin moral-alliance,1
online-stage,ago-gaming arcy,1
online-stage,ago-gaming cleantmix,1
online-stage,ago-gaming illuminar-gaming,2
online-stage,ago-gaming izako-boars,1
online-stage,ago-gaming pact,2
online-stage,ago-gaming vp,1
online-stage,ago-gaming wisla-krakow,2
online-stage,arcy ago-gaming,1
online-stage,arcy vp,1
online-stage,cleantmix ago-gaming,2
online-stage,cleantmix vp,0
online-stage,illuminar-gaming ago-gaming,1
online-stage,illuminar-gaming vp,2
online-stage,izako-boars ago-gaming,0
online-stage,izako-boars vp,2
online-stage,pact ago-gaming,0
online-stage,pact ago-gaming,2
online-stage,pact vp,0
online-stage,vp ago-gaming,1
online-stage,vp arcy,0
online-stage,vp cleantmix,2
online-stage,vp illuminar-gaming,2
online-stage,vp izako-boars,0
online-stage,vp pact,2
online-stage,vp wisla-krakow,2
online-stage,wisla-krakow ago-gaming,2
online-stage,wisla-krakow vp,1
playoff,ago-gaming illuminar-gaming,2
playoff,arcy ago-gaming,2
playoff,ago-gaming avez,2
playoff,ago-gaming pact,2
regular-season,ago-gaming avez,1
regular-season,ago-gaming gaminate,1
regular-season,ago-gaming illuminar-gaming,1
regular-season,ago-gaming izako-boars,2
regular-season,ago-gaming pact,0
regular-season,ago-gaming plmix,1
regular-season,ago-gaming pompa,1
regular-season,ago-gaming tur-w-zgorzelec,1
regular-season,ago-gaming wisla-krakow,2
regular-season,avez ago-gaming,0
regular-season,gaminate ago-gaming,2
regular-season,illuminar-gaming ago-gaming,1
regular-season,izako-boars ago-gaming,2
regular-season,pact ago-gaming,2
regular-season,plmix ago-gaming,2
regular-season,pompa ago-gaming,2
regular-season,tur-w-zgorzelec ago-gaming,2
regular-season,wisla-krakow ago-gaming,1
playoff,kinguin zwierzeta,1
playoff,pride kinguin,2
playoff,ago-gaming kinguin,1
playoff,kinguin pact,1
playoff,ago-gaming vp,2
playoff,vp arcy,2
playoff,x-kom vp,2
group-stage,ago-gaming avez,1
group-stage,ago-gaming cleantmix,1
group-stage,ago-gaming cyberwolves,1
group-stage,ago-gaming illuminar-gaming,2
group-stage,ago-gaming izako-boars,1
group-stage,ago-gaming pact,1
group-stage,ago-gaming wisla-krakow,2
group-stage,avez ago-gaming,2
group-stage,cleantmix ago-gaming,2
group-stage,cyberwolves ago-gaming,2
group-stage,illuminar-gaming ago-gaming,1
group-stage,izako-boars ago-gaming,2
group-stage,pact ago-gaming,2
group-stage,wisla-krakow ago-gaming,2
playoff,ago-gaming pact,1
playoff,avez ago-gaming,2
group-stage,ago-gaming anonymo,2
group-stage,ago-gaming esca,2
group-stage,ago-gaming honoris,1
group-stage,ago-gaming illuminar-gaming,1
group-stage,ago-gaming izako-boars,2
group-stage,ago-gaming pact,1
group-stage,ago-gaming pompa,0
group-stage,ago-gaming tpt,2
group-stage,ago-gaming wisla-krakow,1
group-stage,anonymo ago-gaming,1
group-stage,esca ago-gaming,2
group-stage,honoris ago-gaming,0
group-stage,illuminar-gaming ago-gaming,1
group-stage,izako-boars ago-gaming,0
group-stage,pact ago-gaming,2
group-stage,pompa ago-gaming,0
group-stage,tpt ago-gaming,2
group-stage,wisla-krakow ago-gaming,2
playoff,ago-gaming honoris,2
playoff,ago-gaming pompa,1
playoff,ago-gaming wisla-krakow,1
playoff,anonymo ago-gaming,2
playoff,pact ago-gaming,2
playoff,ago-gaming kinguin,2
playoff,kinguin pride,1
playoff,kinguin izako-boars,1
playoff,kinguin pact,1
playoff,endpoint ldlc,2
playoff,ldlc movistar-riders,1
playoff,ldlc sprout,1
playoff,sprout brugge,1
playoff,sprout sangal,1
group-stage,big liquid,2
group-stage,big liquid,2
group-stage,big nao-tem-como,1
group-stage,faze ghost-gaming,1
group-stage,faze space-soldiers,1
group-stage,,
group-stage,liquid mousesports,2
group-stage,,
group-stage,,
group-stage,,
playoff,faze liquid,1
playoff,faze mousesports,1
playoff,mousesports sk,1
group-stage,,
group-stage,,
group-stage,,
group-stage,flipsid3 mousesports,1
group-stage,immunity kinguin,2
group-stage,luminosity flipsid3,1
group-stage,luminosity kinguin,1
group-stage,navi clg,1
group-stage,nip clg,1
playoff,solomid kinguin,1
group-stage,astralis team-dignitas,1
group-stage,astralis team-dignitas,1
group-stage,clg gambit,2
group-stage,flipsid3 optic,1
group-stage,navi flipsid3,1
group-stage,nip flipsid3,2
group-stage,sk faze,1
group-stage,sk g2-esports,1
group-stage,team-dignitas clg,1
playoff,sk flipsid3,1
playoff,sk liquid,1
playoff,vp sk,2
qualifier,envyus immortals,1
qualifier,faze flipsid3,1
qualifier,faze team-dignitas,1
qualifier,flipsid3 immortals,1
qualifier,flipsid3 renegades,1
qualifier,hellraisers flipsid3,2
qualifier,immortals empire,1
qualifier,optic flipsid3,1
qualifier,team-dignitas empire,1
qualifier,team-dignitas hellraisers,2
qualifier,team-dignitas renegades,1
qualifier,tyloo immortals,1
qualifier,tyloo team-dignitas,2
china,lgd vici-gaming,2
china,tyloo flash-gaming,1
china,tyloo new4,1
china,tyloo sports.power-clan,1
china,tyloo vici-gaming,1
china,uya eclipse,1
china,uya tot,1
china,vici-gaming recall-the-end,1
china,vici-gaming uya,1
europe,big flipsid3,1
europe,envyus space-soldiers,2
europe,godsent space-soldiers,2
europe,godsent tundra,1
europe,heroic team-dignitas,1
europe,space-soldiers outlaws,1
europe,team-dignitas k29,1
europe,tricked team-dignitas,2
europe,tundra kinguin,1
group-stage,cloud9 immortals,1
group-stage,faze optic,2
group-stage,fnatic sk,2
group-stage,immortals g2-esports,2
group-stage,immortals liquid,2
group-stage,immortals vp,1
group-stage,liquid optic,1
group-stage,north optic,2
group-stage,north sk,2
group-stage,sk g2-esports,2
group-stage,sk space-soldiers,2
group-stage,sk vp,1
group-stage,space-soldiers fnatic,2
group-stage,space-soldiers navi,2
group-stage,space-soldiers optic,2
group-stage,tyloo cloud9,2
group-stage,tyloo g2-esports,2
group-stage,tyloo north,2
north-america,clg liquid,2
north-america,clg renegades,1
north-america,liquid misfits,1
north-america,misfits splyce,1
playoff,faze sk,2
playoff,optic sk,2
playoff,sk cloud9,1
asia,b.o.o.t-d-s mvp-pk,1
asia,recca mvp-pk,1
asia,the-mongolz mvp-pk,2
asia,the-mongolz vg-flash,2
asia,tyloo arkangel-pro-team,1
asia,tyloo b.o.o.t-d-s,1
asia,tyloo b.o.o.t-d-s,2
asia,tyloo vg-flash,1
asia,vg-flash b.o.o.t-d-s,2
asia,vg-flash recca,1
europe,gambit hellraisers,2
europe,gambit heroic,1
europe,gambit valiance,1
europe,hellraisers gambit,2
europe,hellraisers north,2
europe,heroic vp,2
europe,heroic wasd,1
europe,space-soldiers gambit,2
europe,space-soldiers hellraisers,2
europe,valiance space-soldiers,2
europe,vp north,2
europe,vp space-soldiers,2
europe,wasd north,2
group-stage,astralis cloud9,1
group-stage,astralis ence,1
group-stage,astralis g2-esports,1
group-stage,b.o.o.t-d-s renegades,2
group-stage,big liquid,1
group-stage,big made-in-brazil,1
group-stage,big renegades,1
group-stage,cloud9 navi,2
group-stage,ence navi,2
group-stage,ence nip,1
group-stage,faze b.o.o.t-d-s,1
group-stage,faze fnatic,1
group-stage,faze made-in-brazil,1
group-stage,fnatic big,1
group-stage,fnatic north,1
group-stage,g2-esports navi,1
group-stage,gambit navi,2
group-stage,made-in-brazil north,1
group-stage,mousesports ence,2
group-stage,mousesports g2-esports,2
group-stage,mousesports gambit,1
group-stage,nip cloud9,2
group-stage,north liquid,1
group-stage,renegades made-in-brazil,2
north-america,eunited complexity-gaming,1
north-america,eunited luminosity,2
north-america,eunited luminosity,1
north-america,nrg complexity-gaming,2
north-america,nrg luminosity,2
north-america,optic complexity-gaming,1
north-america,optic eunited,1
north-america,renegades luminosity,1
north-america,renegades optic,1
north-america,renegades optic,1
playoff,astralis navi,2
playoff,faze big,2
playoff,g2-esports big,2
playoff,navi big,1
playoff,navi fnatic,1
asia,b.o.o.t-d-s mvp-pk,2
asia,b.o.o.t-d-s tyloo,2
asia,ehome tyloo,2
asia,mvp-pk recca,1
asia,mvp-pk tyloo,1
asia,mvp-pk tyloo,1
asia,tyloo alpha-red,1
asia,tyloo ehome,1
asia,vici-gaming b.o.o.t-d-s,2
asia,vici-gaming big-time-regal-gaming,1
asia,vici-gaming ehome,2
europe,alternate optic,2
europe,avangar hellraisers,1
europe,chaos-esports-club north,2
europe,hellraisers chaos-esports-club,1
europe,hellraisers heroic,2
europe,heroic avangar,1
europe,heroic north,1
europe,north avangar,2
europe,north optic,1
europe,optic avangar,2
europe,vitality alternate,1
europe,vitality avangar,1
europe,vitality heroic,1
group-stage,astralis big,1
