stage,teams,result
playoff,kinguin pride,2
playoff,pride penta,2
playoff,space-soldiers epsilon,1
playoff,space-soldiers penta,1
playoff,tricked flipsid3,2
group-stage,elements dendd,2
group-stage,elements norse,1
playoff,elements tengri,2
playoff,elements ex-manatee,1
playoff,elements extatus,1
playoff,elements zzz,2
playoff,gambit-youngsters zzz,2
playoff,pro100 outlaws,2
playoff,quantum-bellator tricked,2
closed-qualifier,avangar nexus,1
closed-qualifier,avangar team-spirit-academy,1
closed-qualifier,forze quantum-bellator,2
closed-qualifier,quantum-bellator goodjob,1
group-stage,avangar pro100,1
group-stage,binary-dragons quantum-bellator,1
group-stage,imperial avangar,1
group-stage,pro100 spartak,2
group-stage,quantum-bellator spirit,2
group-stage,spartak avangar,2
open-qualifier,elements hakohe,1
open-qualifier,quantum-bellator elements,1
open-qualifier,quantum-bellator kalashnikov-47,1
open-qualifier,quantum-bellator nexus,1
playoff,avangar spirit,2
playoff,north-academy avangar,2
playoff,grond fantastic-seven,2
group-stage,ence mad-lions,2
group-stage,godsent galaxy-racer,1
group-stage,godsent galaxy-racer,2
group-stage,godsent havu-gaming,2
group-stage,mad-lions ence,2
group-stage,singularity ence,2
group-stage,team-dignitas mad-lions,1
group-stage,team-dignitas singularity,1
playoff,havu-gaming ence,1
playoff,havu-gaming team-dignitas,2
playoff,team-dignitas galaxy-racer,1
qualifiers,nomix quantum-bellator,2
qualifiers,singularity quantum-bellator,1
group-stage,1win k23,1
group-stage,espada natus-vincere-junior,2
group-stage,forze espada,1
group-stage,forze natus-vincere-junior,1
group-stage,k23 nemiga,2
group-stage,nemiga 1win,2
group-stage,vp 1win,1
group-stage,vp nemiga,1
group-stage,winstrike espada,2
playoff,forze 1win,1
playoff,forze vp,2
playoff,vp natus-vincere-junior,1
qualifiers,100pinggods cr4zy,1
qualifiers,cr4zy espada,2
qualifiers,cr4zy gambit-youngsters,1
qualifiers,cr4zy hellraisers,2
qualifiers,cr4zy s-gaming,1
qualifiers,cr4zy se7en,1
qualifiers,cyber-legacy moscow-five-academy,1
qualifiers,cyber-legacy natus-vincere-junior,2
qualifiers,dream-eaters 100pinggods,2
qualifiers,dream-eaters eclcats,1
qualifiers,dream-eaters hellraisers,2
qualifiers,espada 100pinggods,2
qualifiers,espada 100pinggods,1
qualifiers,espada dream-eaters,1
qualifiers,espada gambit-youngsters,1
qualifiers,espada nemiga,2
qualifiers,firenation k23,2
qualifiers,k23 1win,2
qualifiers,k23 cr4zy,2
qualifiers,k23 hard-legion,1
qualifiers,k23 hellraisers,1
qualifiers,k23 revolt,1
qualifiers,moscow-five-youngsters k23,2
qualifiers,natus-vincere-junior hard-legion,2
qualifiers,natus-vincere-junior k23,1
qualifiers,nemiga 100pinggods,1
qualifiers,se7en espada,2
qualifiers,se7en nemiga,2
qualifiers,unique k23,2
group-stage,astralis g2-esports,1
group-stage,astralis g2-esports,2
group-stage,astralis made-in-brazil,1
group-stage,big complexity-gaming,1
group-stage,big faze,1
group-stage,complexity-gaming faze,1
group-stage,evil-geniuses og,2
group-stage,furia g2-esports,2
group-stage,g2-esports made-in-brazil,1
group-stage,made-in-brazil furia,1
group-stage,navi nip,1
group-stage,navi nip,1
group-stage,navi og,2
group-stage,nip evil-geniuses,1
group-stage,og navi,1
group-stage,vitality big,1
group-stage,vitality big,1
group-stage,vitality complexity-gaming,1
playoff,cloud9 complexity-gaming,1
playoff,cloud9 mousesports,2
playoff,complexity-gaming sprout,1
playoff,faze made-in-brazil,2
playoff,furia isurus,1
playoff,furia liquid,1
playoff,furia vp,1
playoff,heroic endpoint,1
playoff,liquid mad-lions,1
playoff,made-in-brazil liquid,2
playoff,mousesports godsent,1
playoff,mousesports heroic,1
playoff,nip cloud9,2
playoff,spirit vp,2
playoff,astralis navi,1
playoff,big astralis,2
playoff,furia og,1
playoff,g2-esports astralis,2
playoff,g2-esports big,2
playoff,g2-esports furia,1
playoff,mousesports astralis,2
playoff,navi astralis,1
playoff,navi furia,1
playoff,og big,2
playoff,vitality astralis,1
playoff,vitality big,1
playoff,vitality mousesports,1
playoff,vitality navi,1
playoff,astralis evil-geniuses,1
playoff,astralis g2-esports,1
playoff,astralis navi,2
playoff,astralis vitality,1
playoff,complexity-gaming navi,2
playoff,evil-geniuses furia,1
playoff,g2-esports furia,1
playoff,g2-esports navi,2
playoff,liquid evil-geniuses,1
playoff,liquid navi,2
playoff,navi liquid,2
playoff,vitality complexity-gaming,1
playoff,vitality liquid,1
playoff,vitality navi,2
group-stage,100-thieves evil-geniuses,2
group-stage,100-thieves g2-esports,2
group-stage,astralis complexity-gaming,2
group-stage,complexity-gaming navi,2
group-stage,evil-geniuses og,2
group-stage,faze liquid,1
group-stage,faze liquid,1
group-stage,faze nip,1
group-stage,g2-esports og,1
group-stage,g2-esports og,1
group-stage,liquid made-in-brazil,1
group-stage,liquid nip,1
group-stage,navi astralis,1
group-stage,navi vitality,2
group-stage,nip made-in-brazil,1
group-stage,og evil-geniuses,1
group-stage,vitality complexity-gaming,2
group-stage,vitality navi,2
europe,astralis ence,2
europe,astralis nip,2
europe,astralis saw,1
europe,astralis vitality,2
europe,ence mousesports,1
europe,ence saw,1
europe,fnatic mad-lions,2
europe,fnatic mousesports,1
europe,fnatic team-dignitas,1
europe,fnatic vitality,2
europe,fnatic vp,1
europe,mad-lions ence,2
europe,mad-lions team-dignitas,1
europe,mad-lions vp,1
europe,mousesports astralis,1
europe,mousesports mad-lions,0
europe,mousesports team-dignitas,1
europe,mousesports vp,2
europe,nip ence,0
europe,nip mad-lions,1
